"trainer/global_step","Group: bpe-conversion - _step","Group: bpe-conversion - _step__MIN","Group: bpe-conversion - _step__MAX","Group: bpe-conversion - validation/loss_epoch","Group: bpe-conversion - validation/loss_epoch__MIN","Group: bpe-conversion - validation/loss_epoch__MAX","Group: bpe-2 - _step","Group: bpe-2 - _step__MIN","Group: bpe-2 - _step__MAX","Group: bpe-2 - validation/loss_epoch","Group: bpe-2 - validation/loss_epoch__MIN","Group: bpe-2 - validation/loss_epoch__MAX","Group: bpe-knockout-2 - _step","Group: bpe-knockout-2 - _step__MIN","Group: bpe-knockout-2 - _step__MAX","Group: bpe-knockout-2 - validation/loss_epoch","Group: bpe-knockout-2 - validation/loss_epoch__MIN","Group: bpe-knockout-2 - validation/loss_epoch__MAX"
"4968","","","","","","","206420","206420","206420","2.54465389251709","2.54465389251709","2.54465389251709","206420","206420","206420","2.340667486190796","2.340667486190796","2.340667486190796"
"5062","","","","","","","210315","210315","210315","2.51946759223938","2.51946759223938","2.51946759223938","210315","210315","210315","2.325617551803589","2.325617551803589","2.325617551803589"
"5156","","","","","","","214210","214210","214210","2.5049495697021484","2.5049495697021484","2.5049495697021484","214210","214210","214210","2.314082384109497","2.314082384109497","2.314082384109497"
"5249","","","","","","","218105","218105","218105","2.499056577682495","2.499056577682495","2.499056577682495","218105","218105","218105","2.289398431777954","2.289398431777954","2.289398431777954"
"5343","","","","","","","221999","221999","221999","2.4771554470062256","2.4771554470062256","2.4771554470062256","221999","221999","221999","2.2879581451416016","2.2879581451416016","2.2879581451416016"
"5437","","","","","","","225894","225894","225894","2.4661033153533936","2.4661033153533936","2.4661033153533936","225894","225894","225894","2.278046131134033","2.278046131134033","2.278046131134033"
"5531","","","","","","","229789","229789","229789","2.447004795074463","2.447004795074463","2.447004795074463","229789","229789","229789","2.265615701675415","2.265615701675415","2.265615701675415"
"5624","","","","","","","233684","233684","233684","2.4402740001678467","2.4402740001678467","2.4402740001678467","233684","233684","233684","2.2500526905059814","2.2500526905059814","2.2500526905059814"
"5718","","","","","","","237578","237578","237578","2.4271154403686523","2.4271154403686523","2.4271154403686523","237578","237578","237578","2.240877866744995","2.240877866744995","2.240877866744995"
"5812","","","","","","","241473","241473","241473","2.4137940406799316","2.4137940406799316","2.4137940406799316","241473","241473","241473","2.2286651134490967","2.2286651134490967","2.2286651134490967"
"5906","","","","","","","245368","245368","245368","2.3947207927703857","2.3947207927703857","2.3947207927703857","245368","245368","245368","2.2253010272979736","2.2253010272979736","2.2253010272979736"
"5999","","","","","","","249263","249263","249263","2.3879222869873047","2.3879222869873047","2.3879222869873047","249263","249263","249263","2.211670398712158","2.211670398712158","2.211670398712158"
"6093","","","","","","","253157","253157","253157","2.381704330444336","2.381704330444336","2.381704330444336","253157","253157","253157","2.2041358947753906","2.2041358947753906","2.2041358947753906"
"6187","","","","","","","257052","257052","257052","2.3638858795166016","2.3638858795166016","2.3638858795166016","257052","257052","257052","2.190403461456299","2.190403461456299","2.190403461456299"
"6281","","","","","","","260947","260947","260947","2.3498873710632324","2.3498873710632324","2.3498873710632324","260947","260947","260947","2.185885429382324","2.185885429382324","2.185885429382324"
"6374","","","","","","","264842","264842","264842","2.34631609916687","2.34631609916687","2.34631609916687","264842","264842","264842","2.1765987873077393","2.1765987873077393","2.1765987873077393"
"6468","","","","","","","268736","268736","268736","2.331530809402466","2.331530809402466","2.331530809402466","268736","268736","268736","2.160341262817383","2.160341262817383","2.160341262817383"
"6562","","","","","","","272631","272631","272631","2.324704885482788","2.324704885482788","2.324704885482788","272631","272631","272631","2.152942657470703","2.152942657470703","2.152942657470703"
"6656","","","","","","","276526","276526","276526","2.3056833744049072","2.3056833744049072","2.3056833744049072","276526","276526","276526","2.1402666568756104","2.1402666568756104","2.1402666568756104"
"6749","","","","","","","280421","280421","280421","2.305999994277954","2.305999994277954","2.305999994277954","280421","280421","280421","2.1423585414886475","2.1423585414886475","2.1423585414886475"
"6843","","","","","","","284315","284315","284315","2.289184331893921","2.289184331893921","2.289184331893921","284315","284315","284315","2.1302828788757324","2.1302828788757324","2.1302828788757324"
"6937","","","","","","","288210","288210","288210","2.28375244140625","2.28375244140625","2.28375244140625","288210","288210","288210","2.1196908950805664","2.1196908950805664","2.1196908950805664"
"7031","","","","","","","292105","292105","292105","2.276174783706665","2.276174783706665","2.276174783706665","292105","292105","292105","2.1131625175476074","2.1131625175476074","2.1131625175476074"
"7124","","","","","","","296000","296000","296000","2.2618207931518555","2.2618207931518555","2.2618207931518555","296000","296000","296000","2.106973886489868","2.106973886489868","2.106973886489868"
"7218","","","","","","","299894","299894","299894","2.25189208984375","2.25189208984375","2.25189208984375","299894","299894","299894","2.0937206745147705","2.0937206745147705","2.0937206745147705"
"7312","","","","","","","303789","303789","303789","2.243419647216797","2.243419647216797","2.243419647216797","303789","303789","303789","2.089937686920166","2.089937686920166","2.089937686920166"
"7406","","","","","","","307684","307684","307684","2.2396528720855713","2.2396528720855713","2.2396528720855713","307684","307684","307684","2.074746608734131","2.074746608734131","2.074746608734131"
"7499","","","","","","","311579","311579","311579","2.229778528213501","2.229778528213501","2.229778528213501","311579","311579","311579","2.0742838382720947","2.0742838382720947","2.0742838382720947"
